family,task_type,rank,rule_id,rule_name,quality_category,introduced_alert_n,affected_pr_n,alert_percent,cumulative_alert_percent
quality,all,1,js/unused-local-variable,"Unused variable, import, function or class",maintainability,303,119,39.096774193548384,39.096774193548384
quality,all,2,py/unused-import,Unused import,maintainability,112,44,14.451612903225806,53.54838709677419
quality,all,3,java/deprecated-call,Deprecated method or constructor invocation,maintainability,66,1,8.516129032258064,62.064516129032256
quality,all,4,py/unused-local-variable,Unused local variable,maintainability,44,21,5.67741935483871,67.74193548387096
quality,all,5,js/trivial-conditional,Useless conditional,correctness_reliability,22,10,2.838709677419355,70.58064516129032
quality,all,6,py/cyclic-import,Cyclic import,correctness_reliability,18,6,2.3225806451612905,72.90322580645162
quality,all,7,js/automatic-semicolon-insertion,Semicolon insertion,maintainability,16,9,2.064516129032258,74.96774193548387
quality,all,8,py/empty-except,Empty except,correctness_reliability,14,7,1.8064516129032258,76.7741935483871
quality,all,9,py/unsafe-cyclic-import,Module-level cyclic import,correctness_reliability,13,4,1.6774193548387097,78.45161290322581
quality,all,10,rb/useless-assignment-to-local,Useless assignment to local variable,maintainability,13,3,1.6774193548387097,80.12903225806451
quality,all,11,js/useless-assignment-to-local,Useless assignment to local variable,maintainability,10,9,1.2903225806451613,81.41935483870968
quality,all,12,py/multiple-definition,Variable defined multiple times,maintainability,10,5,1.2903225806451613,82.70967741935483
quality,all,13,py/call/wrong-named-argument,Wrong name for an argument in a call,correctness_reliability,9,2,1.1612903225806452,83.87096774193549
quality,all,14,java/unknown-javadoc-parameter,Spurious Javadoc @param tags,maintainability,8,2,1.032258064516129,84.90322580645162
quality,all,15,py/repeated-import,Module is imported more than once,maintainability,7,2,0.9032258064516129,85.80645161290323
quality,all,16,py/catch-base-exception,Except block handles 'BaseException',correctness_reliability,7,2,0.9032258064516129,86.70967741935483
quality,all,17,py/inheritance/signature-mismatch,Signature mismatch in overriding method,correctness_reliability,7,4,0.9032258064516129,87.61290322580645
quality,all,18,py/commented-out-code,Commented-out code,maintainability,7,4,0.9032258064516129,88.51612903225806
quality,all,19,py/import-and-import-from,Module is imported with 'import' and 'import from',maintainability,7,7,0.9032258064516129,89.41935483870968
quality,all,20,cpp/implicit-function-declaration,Implicit function declaration,correctness_reliability,6,2,0.7741935483870968,90.19354838709677
quality,all,21,py/unreachable-statement,Unreachable code,maintainability,5,5,0.6451612903225806,90.83870967741936
quality,all,22,py/test-equals-none,Testing equality to None,performance_efficiency,4,1,0.5161290322580645,91.35483870967742
quality,all,23,java/unused-parameter,Useless parameter,maintainability,4,3,0.5161290322580645,91.87096774193549
quality,all,24,py/uninitialized-local-variable,Potentially uninitialized local variable,correctness_reliability,4,2,0.5161290322580645,92.38709677419355
quality,all,25,rb/uninitialized-local-variable,Potentially uninitialized local variable,correctness_reliability,4,3,0.5161290322580645,92.90322580645162
quality,all,26,py/mixed-returns,Explicit returns mixed with implicit (fall through) returns,correctness_reliability,4,3,0.5161290322580645,93.41935483870968
quality,all,27,py/file-not-closed,File is not always closed,performance_efficiency,4,3,0.5161290322580645,93.93548387096774
quality,all,28,java/uncaught-number-format-exception,Missing catch of NumberFormatException,correctness_reliability,4,2,0.5161290322580645,94.45161290322581
quality,all,29,java/useless-tostring-call,Useless toString on String,maintainability,3,1,0.3870967741935484,94.83870967741936
quality,all,30,py/unused-global-variable,Unused global variable,maintainability,3,2,0.3870967741935484,95.2258064516129
quality,all,31,py/imprecise-assert,Imprecise assert,maintainability,3,2,0.3870967741935484,95.61290322580645
quality,all,32,py/redundant-assignment,Redundant assignment,correctness_reliability,3,1,0.3870967741935484,96.0
quality,all,33,js/redundant-operation,Identical operands,correctness_reliability,3,1,0.3870967741935484,96.38709677419355
quality,all,34,py/unnecessary-pass,Unnecessary pass,maintainability,3,3,0.3870967741935484,96.7741935483871
quality,all,35,js/react/unused-or-undefined-state-property,Unused or undefined state property,correctness_reliability,2,1,0.25806451612903225,97.03225806451613
quality,all,36,js/useless-expression,Expression has no effect,maintainability,2,2,0.25806451612903225,97.29032258064517
quality,all,37,py/missing-call-to-init,Missing call to superclass `__init__` during object initialization,correctness_reliability,2,1,0.25806451612903225,97.54838709677419
quality,all,38,js/missing-space-in-concatenation,Missing space in string concatenation,maintainability,2,1,0.25806451612903225,97.80645161290323
quality,all,39,java/ignored-error-status-of-call,Ignored error status of call,correctness_reliability,2,1,0.25806451612903225,98.06451612903226
quality,all,40,java/dereferenced-value-may-be-null,Dereferenced variable may be null,correctness_reliability,2,2,0.25806451612903225,98.3225806451613
quality,all,41,py/undefined-export,Explicit export is not defined,correctness_reliability,1,1,0.12903225806451613,98.45161290322581
quality,all,42,py/return-or-yield-outside-function,Use of 'return' or 'yield' outside a function,correctness_reliability,1,1,0.12903225806451613,98.58064516129032
quality,all,43,js/call-to-non-callable,Invocation of non-function,correctness_reliability,1,1,0.12903225806451613,98.70967741935483
quality,all,44,py/call/wrong-arguments,Wrong number of arguments in a call,correctness_reliability,1,1,0.12903225806451613,98.83870967741936
quality,all,45,cpp/commented-out-code,Commented-out code,maintainability,1,1,0.12903225806451613,98.96774193548387
quality,all,46,java/missing-override-annotation,Missing Override annotation,maintainability,1,1,0.12903225806451613,99.09677419354838
quality,all,47,py/exit-from-finally,'break' or 'return' statement in finally,correctness_reliability,1,1,0.12903225806451613,99.2258064516129
quality,all,48,py/redundant-else,Unnecessary 'else' clause in loop,maintainability,1,1,0.12903225806451613,99.35483870967742
quality,all,49,java/local-variable-is-never-read,Unread local variable,maintainability,1,1,0.12903225806451613,99.48387096774194
quality,all,50,py/side-effect-in-assert,An assert statement has a side-effect,correctness_reliability,1,1,0.12903225806451613,99.61290322580645
quality,all,51,js/unused-loop-variable,Unused loop iteration variable,correctness_reliability,1,1,0.12903225806451613,99.74193548387096
quality,all,52,js/redundant-assignment,Self assignment,correctness_reliability,1,1,0.12903225806451613,99.87096774193549
quality,all,53,js/unreachable-statement,Unreachable statement,correctness_reliability,1,1,0.12903225806451613,100.0
quality,feat,1,js/unused-local-variable,"Unused variable, import, function or class",maintainability,227,75,41.72794117647059,41.72794117647059
quality,feat,2,py/unused-import,Unused import,maintainability,73,26,13.419117647058824,55.14705882352941
quality,feat,3,java/deprecated-call,Deprecated method or constructor invocation,maintainability,66,1,12.132352941176471,67.27941176470588
quality,feat,4,py/cyclic-import,Cyclic import,correctness_reliability,15,4,2.7573529411764706,70.03676470588235
